Article name,SCIP number,Identifier,SVHC contained:,CAS:,ROHS Exemption:,Last Updated
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153645,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Piezo valve VEAB-*/VEAA-*,d341ffa0-e2c8-41df-8e22-e991fce4cf8a,8153646,Lead titanium zirconium oxide,12626-81-2,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,647285,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,1540949,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,1541384,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,1541958,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,647286,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,647287,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,647288,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,647289,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover plate LF-*/LOE-*/HEL-*,bf5fdbcb-f77b-43db-903e-fcc2cf64f117,394366,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Housing PEV-*,06a3510b-1c8c-4bcc-8306-8ae321160a41,395088,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover LR-*/MS6-LRP,b09c02dc-876c-435d-bb5b-08bf8b51f970,394735,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover LR-*/MS6-LRP,b09c02dc-876c-435d-bb5b-08bf8b51f970,690176,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Cover LR-*/MS6-LRP,b09c02dc-876c-435d-bb5b-08bf8b51f970,650611,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Spring housing LR-*/LFR-*,0f14b0cb-edf7-49c0-a13e-4d62c026dc0f,650626,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Covering FRM-*,b97df377-1da6-4522-bc4b-bf0b9c47ceab,722796,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Covering FRM-*,b97df377-1da6-4522-bc4b-bf0b9c47ceab,722797,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162642,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162643,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162644,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162645,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162646,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162647,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162648,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162649,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162650,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162651,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162652,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162653,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162654,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162655,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162656,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,162657,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173724,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173725,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173726,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173727,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173728,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173729,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173730,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173731,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173732,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173733,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173734,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173735,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173736,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173737,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173738,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,173739,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,186469,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,186470,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,186475,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,186476,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,192148,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,192563,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,192564,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,192565,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,192566,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,192567,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,192568,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,8002588,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532837,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532838,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532839,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532840,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532841,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532842,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532843,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532844,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532845,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532846,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532847,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532848,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532849,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532850,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532851,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532852,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532853,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532854,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532855,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532856,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532857,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532858,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532859,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532860,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532861,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Micro filter LF-*/LFMA-*,928b4224-148f-45fa-8e35-f0eb79b55817,532862,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Pressure regulator LR-*/LRS-*/LRBS-*/D-*,b71af7a4-03dd-4eff-9bb6-7bde63ba1bdb,159580,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Pressure regulator LR-*/LRS-*/LRBS-*/D-*,b71af7a4-03dd-4eff-9bb6-7bde63ba1bdb,1401411,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
Pressure regulator LR-*/LRS-*/LRBS-*/D-*,b71af7a4-03dd-4eff-9bb6-7bde63ba1bdb,159581,Perfluorobutane sulfonic acid (PFBS) and its salts,,,2022-10-28
